class,precision,recall,f1
short sleeve top,0.6672246050842139,0.5128658732711483,0.5799499886337804
long sleeve top,0.49957615145521334,0.28306115914185076,0.3613694430250383
short sleeve outwear,0.03255813953488372,0.06862745098039216,0.04416403785488959
long sleeve outwear,0.4629424778761062,0.36280884265279584,0.40680437424058324
vest,0.2614413466596528,0.549981556621173,0.3544093178036606
sling,0.14188422247446084,0.3654970760233918,0.2044153720359771
shorts,0.6078363980065303,0.5827018121911038,0.595003785011355
trousers,0.7662666519872289,0.7198262488364877,0.742320819112628
skirt,0.46699617346938777,0.5259472077572275,0.49472172958365
short sleeve dress,0.24400977995110024,0.16550580431177447,0.19723320158102767
long sleeve dress,0.1285892634207241,0.14830813534917206,0.1377465730524908
vest dress,0.24833937198067632,0.5200758773316472,0.33616021252682127
sling dress,0.2390873015873016,0.2115891132572432,0.22449930135072194
